Competitor Part Number,Shareway Part Number,Description,Category
,ST3431ANL,Wurth Cross-Reference,LAN Transformers
,ST6811ANL,Wurth Cross-Reference,Transformers
,ST6862ANL,Wurth Cross-Reference,LAN Transformers
000-5408-37R/-LF1,SC88026NL,Wurth Cross-Reference,Transformers
000-5408-37R/-LF1,SC88022BNL,000-5408-37R/-LF1,LAN Transformers
000-7090-37R,SC1188NLE,Wurth Cross-Reference,Transformers
000-7090-37R-LF1,SC1188NLE,Wurth Cross-Reference,Transformers
000-7093-37R-LF1,SC5007ANLE,Wurth Cross-Reference,Transformers
000-7365-30R-LF1,SC5014ANLE,Wurth Cross-Reference,Transformers
000-7412-35R-LF,SC82445NL,Wurth Cross-Reference,Transformers
000-7421-30,SC41640NL,Wurth Cross-Reference,Transformers
0432238146,SRJ1044BNL,0432238146,RJ45 Connectors
0628-1AX1-47-F,SRJK0066BHNL,Belfuse Cross-Reference,RJ45 Connectors
0810-1*1T-01,SRJ2012KONL,Belfuse Cross-Reference,RJ45 Connectors
0811-2*4R-28-F,SRJ47212CNL,Belfuse Cross-Reference,RJ45 Connectors
0813-1*1T-57-F,SRJK0013CNL,Belfuse Cross-Reference,RJ45 Connectors
08161*1T32-F,SRJK4036CNL,Belfuse Cross-Reference,RJ45 Connectors
08211*1T36-F,SRJU3401AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1*1T-57,SRJK0013ADNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1*1T-57,SRJK0013AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1*1T-AD-F,SRJK0043AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1A1T-23-F,SRJK0071AHNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1D1T-23-F,SRJ00713DNL,0826-1D1T-23-F,RJ45 Connectors
0826-1G1T-23-F,SRJK0071AWNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1L1T-23-F,SRJK0071A8NL,Belfuse Cross-Reference,RJ45 Connectors
0826-1X1T-GH-F,SRJK6064AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1X1T-KL-F,SRJ96936ANL,0826-1X1T-KL-F,RJ45 Connectors
0826-1X1T-M1-F,SRJ46265CNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1X1T-M1-F,SRJK2065AONL,Belfuse Cross-Reference,RJ45 Connectors
08261*1TGH-F,SRJK6064AONL,Belfuse Cross-Reference,RJ45 Connectors
08261*1TM1-F,SRJK2065AONL,Belfuse Cross-Reference,RJ45 Connectors
08261X1THS-F,SRJK6071AONL,Belfuse Cross-Reference,RJ45 Connectors
0845-2D1T-H5,SRJ17634NL,0845-2D1T-H5,RJ45 Connectors
0845-2G1T-H5,SRJ17633AFNL,Belfuse Cross-Reference,RJ45 Connectors
0854-2X6R-G6-F,SRJ67082DNL,0854-2X6R-G6-F,RJ45 Connectors
0854-2X8R-G6-F,SRJ87089NL,0854-2X8R-G6-F,RJ45 Connectors
0862-1J1T-43-F,SRJU4232A64NL,Belfuse Cross-Reference,RJ45 Connectors
0875-1G2T-E3,SRJG28818AFNL,Belfuse Cross-Reference,RJ45 Connectors
0875-1G2T-E3,SRJ28811NL,0875-1G2T-E3,RJ45 Connectors
0879-2G2R-Y4,SRJ27037CNL,0879-2G2R-Y4,RJ45 Connectors
0879-2G2R-Y9,SRJ27084BNL,0879-2G2R-Y9,RJ45 Connectors
08B0-1G1T-06-F,SRJ2011KWNL,Belfuse Cross-Reference,RJ45 Connectors
08B0-1X1T-36-F,SRJ90112DNL,08B0-1X1T-36-F,RJ45 Connectors
08B01*1T36-F,SRJ2011KONL,Belfuse Cross-Reference,RJ45 Connectors
08B1-1X1T-06-F,SRJ20110BNL,08B1-1X1T-06-F,RJ45 Connectors
08B11*4T06-F,SRJ42011CNL,Belfuse Cross-Reference,RJ45 Connectors
08BO-1*1T-36-F,SRJ9011KONL,Belfuse Cross-Reference,RJ45 Connectors
08C2-1X1T-36,SRJU4111AONL,Belfuse Cross-Reference,RJ45 Connectors
1-1734795-1,SRJE841BGNL,TE Cross-Reference,RJ45 Connectors
1-1840012-2,SRJ38362CNL,1-1840012-2,RJ45 Connectors
1-1840419-3,SRJ10119BNL,1-1840419-3,RJ45 Connectors
1-1840710-3,SRJG16414A37NL,TE Cross-Reference,RJ45 Connectors
1-1840710-3,SRJG16314A37NL,TE Cross-Reference,RJ45 Connectors
1-2301994-2,SRJ16621CNL,1-2301994-2,RJ45 Connectors
1-4065074,SRJE101AHNL,TE Cross-Reference,RJ45 Connectors
1-406525-1,SRJE101NNL,TE Cross-Reference,RJ45 Connectors
1-406541-1,SRJE101CNL,TE Cross-Reference,RJ45 Connectors
1-406541-5,SRJE101DNL,TE Cross-Reference,RJ45 Connectors
1-406541-6,SRJE101CNL,TE Cross-Reference,RJ45 Connectors
1-5406299-1,SRJE160CNL,TE Cross-Reference,RJ45 Connectors
1-5406552-1,SRJE401AGNL,TE Cross-Reference,RJ45 Connectors
1-5406552-6,SRJE401A65NL,TE Cross-Reference,RJ45 Connectors
1-6605310-1,SRJ0049A76NL,TE Cross-Reference,RJ45 Connectors
1-6605752-1,SRJ16251AZNL,TE Cross-Reference,RJ45 Connectors
1-6605814-3,SRJG16314A37NL,TE Cross-Reference,RJ45 Connectors
1-6605833-1,SRJEG16533AZNL,TE Cross-Reference,RJ45 Connectors
1-6605833-1,SRJG16533AZNL,TE Cross-Reference,RJ45 Connectors
1-6605834-1,SRJ16249AZNL,TE Cross-Reference,RJ45 Connectors
1-6610005-1,SRJ28831NL,1-6610005-1,RJ45 Connectors
1-6620000-3,SRJU5208B31NL,TE Cross-Reference,RJ45 Connectors
10/100/1000M,SRJ28837BNL,10/100/1000M,RJ45 Connectors
10/100Base-T,SC12367ANL,10/100Base-T,LAN Transformers
10/100Base-T,SRJ51555DNL,10/100Base-T,RJ45 Connectors
1000B-5003,SC5020ANL,Pulse Cross-Reference,LAN Transformers
1000B-5016F,SC5084ANL,Pulse Cross-Reference,LAN Transformers
1000Base-T,SRJ49267NL,1000Base-T,RJ45 Connectors
100Mbps,SRJ19966CNL,100Mbps,RJ45 Connectors
100Mbps,SRJ19967CNL,100Mbps,RJ45 Connectors
10118061-5001010LF,SRJ1023BNL,10118061-5001010LF,RJ45 Connectors
10118075-513B010LF,SRJ1062CNL,10118075-513B010LF,RJ45 Connectors
10Gig,SC70164BNL,10Gig,LAN Transformers
10TB-20315KNL,SC06206BNL,10TB-20315KNL,LAN Transformers
11F-29NL,SC41635ANLE,Yuan Dean Scientific CO.LTD Cross-Reference,
11R152C,SDR45474,THT Inductor,Power Inductors
12F-10DNW2,SRJ0215DNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
12F-18BPNDXNL,SRJF0217CNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
12PS6121C,SC41205PNL,Bothhand Cross-Reference,LAN Transformers
12PS6121CX,SC41211PNL,Bothhand Cross-Reference,LAN Transformers
12ST0025P,SC41636NL,Bothhand Cross-Reference,LAN Transformers
1339082,SRJE47011AENL,Amphenol Cross-Reference,RJ45 Connectors
1339082-3,SRJE47011AENL,Amphenol Cross-Reference,RJ45 Connectors
1339082.0,SRJE47011AENL,AMP Cross-Reference,RJ45 Connectors
13F-2010CNL,SC20640DNL,13F-2010CNL,LAN Transformers
13F-33ANL,SC41606NL,Yuan Dean Scientific CO.LTD Cross-Reference,
13F-39NL,SC00133NL,13F-39NL,LAN Transformers
13F-60LDNL,SRJ0017GENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
13F-61JGYDPH2NL,SRJ0087GENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
13F-64GYD2PL2NL,SRJ40117DNL,13F-64GYD2PL2NL,RJ45 Connectors
13F-67BYGDD2NL,SRJ0419GDNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
13F-67CGYDS2NL,SRJ0049AENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
13F-69GYD2NL,SRJ00063NL,13F-69GYD2NL,RJ45 Connectors
13F-69ND2NL,SRJ00064BNL,13F-69ND2NL,RJ45 Connectors
15FB-41NL,SC5018ANL,Yuan Dean Scientific CO.LTD Cross-Reference,
15T-1001GDNL,ST06012ANL,Yuan Dean Scientific CO.LTD Cross-Reference,
15T-4001HANL,ST88629NL,Yuan Dean Scientific CO.LTD Cross-Reference,
1605752-1,SRJ16251A28NL,TE Cross-Reference,RJ45 Connectors
1605810-1,SRJG16304CNL,TE Cross-Reference,RJ45 Connectors
1605837-1,SRJG16520CNL,TE Cross-Reference,RJ45 Connectors
165251220C,SRJ16207ADNL,UDE Cross-Reference,RJ45 Connectors
16PT8520,SC41617PNL,Bothhand Cross-Reference,LAN Transformers
16PT8520X,SC1011PNL,Bothhand Cross-Reference,LAN Transformers
16ST0011P LF,SC41649NL,Bothhand Cross-Reference,LAN Transformers
16ST1086,SC10128NL,16ST1086,LAN Transformers
16ST8520X LF,SC41651NL,Bothhand Cross-Reference,LAN Transformers
1840002-3,SRJU5112B8NL,TE Cross-Reference,RJ45 Connectors
1840182-1,SRJ27590CNL,1840182-1,RJ45 Connectors
1840408-6,SRJG4833G4NL,TE Cross-Reference,RJ45 Connectors
1840417-1,SRJD0711BENL,TE Cross-Reference,RJ45 Connectors
1840459,SRJD4709BENL,TE Cross-Reference,RJ45 Connectors
1840459.0,SRJD4709BENL,TE Cross-Reference,RJ45 Connectors
1840469-4,SRJD5189B4NL,TE Cross-Reference,RJ45 Connectors
1840495-1,SRJ48432BNL,1840495-1,RJ45 Connectors
1840711-8,SRJG16540AENL,TE Cross-Reference,RJ45 Connectors
1840730-5,SRJ1011B9NL,TE Cross-Reference,RJ45 Connectors
1840730-6,SRJ1011B86NL,TE Cross-Reference,RJ45 Connectors
1840866-1,SRJ17542CNL,1840866-1,RJ45 Connectors
1840921-1,SRJ67546CNL,1840921-1,RJ45 Connectors
1932326-1,SRJE121XNNL,TE Cross-Reference,RJ45 Connectors
"1CT:1.414CT,1CT:1CT",SC11213NL,"1CT:1.414CT,1CT:1CT",LAN Transformers
2-1840408-6,SRJG4833G4NL,TE Cross-Reference,RJ45 Connectors
2-406549-1,SRJE101AGNL,TE Cross-Reference,RJ45 Connectors
2-406549-4,SRJE101AHNL,TE Cross-Reference,RJ45 Connectors
2-406549-5,SRJE101AWNL,TE Cross-Reference,RJ45 Connectors
2-406549-8,SRJE101A47NL,TE Cross-Reference,RJ45 Connectors
2-6605814-5,SRJG16314A52NL,TE Cross-Reference,RJ45 Connectors
200S-04G05-1,SRJ5327BNL,200S-04G05-1,RJ45 Connectors
2010122937P36@P03-1TS9(XA),SRJ90261NL,2010122937P36@P03-1TS9(XA),RJ45 Connectors
2041376-2,SRJE222AHNL,TE Cross-Reference,RJ45 Connectors
20F001NG,SC85432DNL,20F001NG,LAN Transformers
20PT1024,SC42069PNL,Bothhand Cross-Reference,LAN Transformers
20PT1024X,SC20640DNL,20PT1024X,LAN Transformers
22-00100T9R3-1,SRJG21911DNL,UDE Cross-Reference,RJ45 Connectors
2250015-2,SRJG16740A52NL,TE Cross-Reference,RJ45 Connectors
2301994-1,SRJ16064NL,2301994-1,RJ45 Connectors
2301994-6,SRJ48065ANL,2301994-6,RJ45 Connectors
2337992-3,SRJ16680AENL,TE Cross-Reference,RJ45 Connectors
23F-02NL,SC21643NLE,Yuan Dean Scientific CO.LTD Cross-Reference,
24-05100AM31-1,SRJG16365DNL,UDE Cross-Reference,RJ45 Connectors
24F-2011EGYD2SNWXNL,SRJ4053BBNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
24F-2011EGYD2SNWXNL,SRJ40538ANL,24F-2011EGYD2SNWXNL,RJ45 Connectors
24G-66JGYDPLZ2NL,SRJ40681NL,24G-66JGYDPLZ2NL,RJ45 Connectors
25.4mm,SRJ60146NL,25.4mm,RJ45 Connectors
25TB-2016S3NL,SC21617NL,Yuan Dean Scientific CO.LTD Cross-Reference,
26-MT-0001,SRJK7036A126NL,UDE Cross-Reference,RJ45 Connectors
2R2116-B082-7F,SC1183NLE,HALO Cross-Reference,LAN Transformers
2xGigabit,SC50126BNL,2xGigabit,LAN Transformers
3004203600B0,SRJ13139CNL,3004203600B0,RJ45 Connectors
30F-30NL,SC82444BNL,30F-30NL,LAN Transformers
30F-54,SC82442NL,Yuan Dean Scientific CO.LTD Cross-Reference,
30F-56NL,SC82427DNL,30F-56NL,LAN Transformers
32-WB2010-01,SRT9500,Coilcraft SRT Series Cross-Reference,Transformers
36U-2011U8,SRJ33155BNL,36U-2011U8,RJ45 Connectors
406528-1,SRJE401NNL,TE Cross-Reference,RJ45 Connectors
406549-4,SRJE101AHNL,TE Cross-Reference,RJ45 Connectors
40SS1041 HF,SC44010NL,Bothhand Cross-Reference,LAN Transformers
40SS1041A HF,SC44004NLE,Bothhand Cross-Reference,LAN Transformers
40SS1041AX,SC11649BNL,40SS1041AX,LAN Transformers
"40SS1041AX,XTFZ-H4001CG-JU,S558-5999-AA-F,H4001CG",SC11649BNL,"40SS1041AX,XTFZ-H4001CG-JU,S558-5999-AA-F,H4001CG",LAN Transformers
40SS1041AX-1 LF,SC44003NLE,Bothhand Cross-Reference,LAN Transformers
40SS1041AXM,SC12340DNL,40SS1041AXM,LAN Transformers
40SS1041RX,SC44003BNL,40SS1041RX,LAN Transformers
40SS1041RX HF,SC44009NL,Bothhand Cross-Reference,LAN Transformers
40SS1064A HF,SC44008NL,Bothhand Cross-Reference,LAN Transformers
40SS1064ALF,SC44007BNL,40SS1064ALF,LAN Transformers
40ST1041AX,SC1164NL,Bothhand Cross-Reference,LAN Transformers
40st1041,SC44010NL,Bothhand Cross-Reference,LAN Transformers
41T-2232NL,ST85501PNL,Yuan Dean Scientific CO.LTD Cross-Reference,
43202-4101,SRJ1778NL,43202-4101,RJ45 Connectors
43202-8916,SRJ1805BNL,43202-8916,RJ45 Connectors
43202-8916,SRJEF180*DNL,MOLEX Cross-Reference,RJ45 Connectors
44150-0021,SRJEF122CNL,MOLEX Cross-Reference,RJ45 Connectors
44150-0021,SRJEF122*CNL,MOLEX Cross-Reference,RJ45 Connectors
44150-0022,SRJEF123CNL,MOLEX Cross-Reference,RJ45 Connectors
44150-0022,SRJEF123*CNL,MOLEX Cross-Reference,RJ45 Connectors
441500014,SRJ19506NL,441500014,RJ45 Connectors
44F-10101DYD2,SRJU4101BONL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
45F-10101DYD2NL,SRJU5103BONL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
45F-10201DYDXNL,SRJU5202BONL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
46F-12023GYD2NL,SRJ16192BNL,46F-12023GYD2NL,RJ45 Connectors
46F-1202YGDXNL,SRJ16012ADNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
46F-1207NDNW3NL,SRJ16214CNL,46F-1207NDNW3NL,RJ45 Connectors
47F-1206-YGD2NL,SRJ10129DNL,47F-1206-YGD2NL,RJ45 Connectors
48025-1090,SRJ1014AWNL,MOLEX Cross-Reference,RJ45 Connectors
48025-1190,SRJ1014AHNL,MOLEX Cross-Reference,RJ45 Connectors
48F-01GY2DPL2NL,SRJG0801EBNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
48F-09AHANDXNL,SRJG0813CNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
49F-1201YGD5NL,SRJ19201BGNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
49F-1301GYDXNL,SRJ19408BHNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
4Port,SRJ46803CNL,4Port,RJ45 Connectors
5-1605728-1,SRJ16115A28NL,TE Cross-Reference,RJ45 Connectors
5-1605790-1,SRJ16116A28NL,TE Cross-Reference,RJ45 Connectors
5-2301994-9,SRJ4011G4NL,TE Cross-Reference,RJ45 Connectors
5-2301995-3,SRJD4012B47NL,TE Cross-Reference,RJ45 Connectors
5-2301996-2,SRJ26405DNL,5-2301996-2,RJ45 Connectors
5-2337992-8,SRJG4926HENL,TE Cross-Reference,RJ45 Connectors
5-2337993-2,SRJDP4115BENL,TE Cross-Reference,RJ45 Connectors
5-6605301-1,SRJ0071A73NL,TE Cross-Reference,RJ45 Connectors
5-6605408-1,SRJ0183G28NL,TE Cross-Reference,RJ45 Connectors
5-6605425-1,SRJ0012G28NL,TE Cross-Reference,RJ45 Connectors
5-6605433-8,SRJG0806GENL,TE Cross-Reference,RJ45 Connectors
5-6605443-1,SRJ405XG28NL,TE Cross-Reference,RJ45 Connectors
5-6605463-6,SRJG0840G4NL,TE Cross-Reference,RJ45 Connectors
5-6605704-9,SRJ16054ADNL,TE Cross-Reference,RJ45 Connectors
5-6605728-1,SRJ16115A28NL,TE Cross-Reference,RJ45 Connectors
5-6605728-1/(5-6605728),SRJ16115A28NL,TE Cross-Reference,RJ45 Connectors
5-6605758-1,SRJ16264AZ28NL,TE Cross-Reference,RJ45 Connectors
5-6605758-1,SRJ16264A28NL,TE Cross-Reference,RJ45 Connectors
5-6605758-7,SRJ16264AFNL,TE Cross-Reference,RJ45 Connectors
5-6605763-7,SRJ16112SZNL,TE Cross-Reference,RJ45 Connectors
5-6605790-2,SRJ16116A42NL,TE Cross-Reference,RJ45 Connectors
5-6605809-5,SRJG16506A52NL,TE Cross-Reference,RJ45 Connectors
5-6605811-1,SRJG16520A28NL,TE Cross-Reference,RJ45 Connectors
5-6605869-8,SRJ1014AHNL,TE Cross-Reference,RJ45 Connectors
50(27)F4-135-A222-B12,SRJ41260CNL,50(27)F4-135-A222-B12,RJ45 Connectors
50T-1221B,ST84931NL,Yuan Dean Scientific CO.LTD Cross-Reference,
51F-1201GYD2,SRJD0015BHNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
51F-1201GYD2,SRJD0015BENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
51F-1202GYD2NL,SRJD4011BENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
51F-1202ND2,SRJD0011DNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
51F-1202ND2NL,SRJ00116CNL,51F-1202ND2NL,RJ45 Connectors
51F-1203ND2,SRJD0012DNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
51F-1204DN2,SRJD0025DNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
51F-1205DN2,SRJ0093DNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
51F-1206GYD5NL,SRJD0012BENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
520184446,SRJ80047DNL,520184446,RJ45 Connectors
5288-B*10,SRJ80155CNL,5288-B*10,RJ45 Connectors
53TB-1222ANL,SC81094NL,53TB-1222ANL,LAN Transformers
5406217-1,SRJEF191CNL,TE Cross-Reference,RJ45 Connectors
5406296-1,SRJEF111XCNL,TE Cross-Reference,RJ45 Connectors
5406299-1,SRJE160CNL,TE Cross-Reference,RJ45 Connectors
5406562-2,SRJ1021ANL,5406562-2,RJ45 Connectors
54602-908LF,SRJ1821BNL,54602-908LF,RJ45 Connectors
54602-9F10LF,SRJ9012CNL,54602-9F10LF,RJ45 Connectors
5520259-4,SRJE618NNL,TE Cross-Reference,RJ45 Connectors
5555154-2,SRJ7109DNL,5555154-2,RJ45 Connectors
5555164-1,SRJE110NNL,TE Cross-Reference,RJ45 Connectors
5555165-1,SRJ70607NL,5555165-1,RJ45 Connectors
5555165-2,SRJ7064CNL,5555165-2,RJ45 Connectors
5569250-1,SRJE223NNL,TE Cross-Reference,RJ45 Connectors
5569257-1,SRJE308DNL,TE Cross-Reference,RJ45 Connectors
5569260-1,SRJE107XCNL,TE Cross-Reference,RJ45 Connectors
5569262-1,SRJE308CNL,TE Cross-Reference,RJ45 Connectors
5569380-1,SRJE17208DNL,TE Cross-Reference,RJ45 Connectors
5569381-1,SRJE213CNL,TE Cross-Reference,RJ45 Connectors
5569564-1,SRJE160AENL,TE Cross-Reference,RJ45 Connectors
558341-1,SRJE121XNL,Amphenol Cross-Reference,RJ45 Connectors
56LED03P3L,SRJ171601B,100M Single RJ45,RJ45 Connectors
57G-1202RYGD2NL,SRJ16114NL,57G-1202RYGD2NL,RJ45 Connectors
57TB-1224HNL,SC12862CNL,57TB-1224HNL,LAN Transformers
5803B-10P8C-C,5803B,100M Single RJ45,RJ45 Connectors
58T-1221C,ST81065NLE,Yuan Dean Scientific CO.LTD Cross-Reference,
5A-218821101,SRJE161401NL,No Filter RJ45,RJ45 Connectors
6-1605809-1,SRJG16506AZNL,TE Cross-Reference,RJ45 Connectors
6-1775855-3,SRJE305AHNL,TE Cross-Reference,RJ45 Connectors
6-6605811-1,SRJG16520AZNL,TE Cross-Reference,RJ45 Connectors
6-660585-1,SRJ16003AZNL,TE Cross-Reference,RJ45 Connectors
6116075-4,SRJE101BHNL,TE Cross-Reference,RJ45 Connectors
6116202-1,SRJE681XDNL,TE Cross-Reference,RJ45 Connectors
6116353-4,SRJE201AHNL,TE Cross-Reference,RJ45 Connectors
6116418-1,SRJE681XDNL,TE Cross-Reference,RJ45 Connectors
6116526-1,SRJ1602ANL,6116526-1,RJ45 Connectors
615 016 245 421,SRJE212ADNL,TE Cross-Reference,RJ45 Connectors
615004143821,SRJ80134BNL,615004143821,RJ45 Connectors
615006138421,SRJE8014NNL,Wurth Cross-Reference,RJ45 Connectors
615008137421,SRJ1019NL,615008137421,RJ45 Connectors
61500814221,SRJEF191DNL,Wurth Cross-Reference,RJ45 Connectors
61500814221.0,SRJEF191DNL,Wurth Cross-Reference,RJ45 Connectors
615008144221,SRJ6184DNL,615008144221,RJ45 Connectors
615008145121,SRJE6826DNL,Wurth Cross-Reference,RJ45 Connectors
615012143921,SRJ7044CNL,615012143921,RJ45 Connectors
615016245421,SRJE212ADNL,TE Cross-Reference,RJ45 Connectors
615032243321,SRJ1077NL,615032243321,RJ45 Connectors
62F-1204GYD2,SRJ26204AENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
62F-1328GGD32NL,SRJG26851AWNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
6339169-3,SRJEF195CNL,TE Cross-Reference,RJ45 Connectors
6364288-4,SRJE101CNL,TE Cross-Reference,RJ45 Connectors
6368011-3,SRJE17011AENL,TE Cross-Reference,RJ45 Connectors
6368150-1,SRJE681DNL,TE Cross-Reference,RJ45 Connectors
64F-1303GYDXNL,SRJG46856AENL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
64F-1352GYDD2NL,SRJ46828BNL,64F-1352GYDD2NL,RJ45 Connectors
6605412-3,SRJ0114DNL,TE Cross-Reference,RJ45 Connectors
6605424-1,SRJ00645ANL,6605424-1,RJ45 Connectors
6605444,SRJG0833GANL,TE Cross-Reference,RJ45 Connectors
6605444-6,SRJG0833G4NL,TE Cross-Reference,RJ45 Connectors
6605444.0,SRJG0833GANL,TE Cross-Reference,RJ45 Connectors
6605706-1,SRJ16218A28NL,TE Cross-Reference,RJ45 Connectors
6605752-1,SRJ16251A28NL,TE Cross-Reference,RJ45 Connectors
6605752-7,SRJ16251AFNL,TE Cross-Reference,RJ45 Connectors
6605759-1,SRJ16264CNL,TE Cross-Reference,RJ45 Connectors
6605761-1,SRJ16664B-29NL,TE Cross-Reference,RJ45 Connectors
6605810-1,SRJG16506CNL,TE Cross-Reference,RJ45 Connectors
6605814-1,SRJG16314A28NL,TE Cross-Reference,RJ45 Connectors
6605814-4,SRJG16314A94NL,TE Cross-Reference,RJ45 Connectors
6605814-5,SRJG16314A52NL,TE Cross-Reference,RJ45 Connectors
6605814-6,SRJG16314A4NL,TE Cross-Reference,RJ45 Connectors
6605833-6,SRJG16533A4NL,TE Cross-Reference,RJ45 Connectors
6605834-1,SRJ16249A28NL,TE Cross-Reference,RJ45 Connectors
6605835-1,SRJG16314CNL,TE Cross-Reference,RJ45 Connectors
671-5932-LF1,SEP7-013,Power Transformer,Transformers
671-7314R,SC11379CNL,671-7314R,LAN Transformers
71F-1202GYDXNL,SRJ17402AHNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
71F-1202GYDZ2NL,SRJ17402ANL,71F-1202GYDZ2NL,RJ45 Connectors
71F-1308GYDXNL,SRJ17225AHNL,Yuan Dean Scientific CO.LTD Cross-Reference,RJ45 Connectors
7443763540470,SPQ3540-470M,Wurth Power Inductor,LAN Transformers
744710215,SRCC175215,Wurth Power Inductor,Power Inductors
7490100111A,SC1188NL,Lan Transformer,LAN Transformers
749010012,SC1102NL,Wurth Cross-Reference,LAN Transformers
749010012.0,SC1102NL,Wurth Cross-Reference,LAN Transformers
749010013,SC1188NL,Wurth Cross-Reference,LAN Transformers
749010013.0,SC1188NL,Wurth Cross-Reference,LAN Transformers
7490100143,SC1197ANL,Wurth Cross-Reference,LAN Transformers
7490100143.0,SC1197ANL,Wurth Cross-Reference,LAN Transformers
7490120110,SC41654ANL,Wurth Cross-Reference,LAN Transformers
7490120110.0,SC41654ANL,Wurth Cross-Reference,LAN Transformers
749013011A,SC2019ANL,Wurth Cross-Reference,Transformers
749020011A,SC24007ANL,Wurth Cross-Reference,Transformers
7490200143,SC50846BNL,7490200143,LAN Transformers
749020023A,SC82445BNL,749020023A,LAN Transformers
749020100A,SC41606ANL,Wurth Cross-Reference,Transformers
749020111,SC82453NL,Wurth Cross-Reference,LAN Transformers
749020111.0,SC82453NL,Wurth Cross-Reference,LAN Transformers
749020116,SC82445NL,Wurth Cross-Reference,LAN Transformers
749020116.0,SC82445NL,Wurth Cross-Reference,Transformers
749023015,SC42422NLE,Wurth Cross-Reference,LAN Transformers
749023015.0,SC42422NLE,Wurth Cross-Reference,LAN Transformers
749050010A,SC72403NL,Wurth Cross-Reference,Transformers
749050010U,SC00015ANL,749050010U,LAN Transformers
749053013,SC72481ANL,749053013,LAN Transformers
7491194912,SC61380BNL,7491194912,LAN Transformers
749119550,SC41483BNL,749119550,LAN Transformers
749119850,ST1144ANL,Wurth Cross-Reference,LAN Transformers
749119850.0,ST1144ANL,Wurth Cross-Reference,LAN Transformers
749196501,SEFD20-331,Wurth Cross-Reference,LAN Transformers
749196501.0,SEFD20-331,Wurth Cross-Reference,LAN Transformers
74941502,ST7402NL,Wurth Cross-Reference,LAN Transformers
74941502.0,ST7402NL,Wurth Cross-Reference,LAN Transformers
7497011611A,SRJU3401AONL,Wurth Cross-Reference,RJ45 Connectors
7497011611A,SRJ34014BNL,7497011611A,RJ45 Connectors
7498010210A,SRJ19665ABNL,Wurth Cross-Reference,RJ45 Connectors
7498010210A,SRJ30116BNL,7498010210A,RJ45 Connectors
7498011001A,SRJ19112CNL,Wurth Cross-Reference,RJ45 Connectors
74980111211,SRJ19612AANL,Wurth Cross-Reference,RJ45 Connectors
74980111211.0,SRJ19612AANL,Wurth Cross-Reference,RJ45 Connectors
7498011211,SRJ19001AENL,Wurth Cross-Reference,RJ45 Connectors
7498011211.0,SRJ19001AENL,Wurth Cross-Reference,RJ45 Connectors
74981104400,SRJG16420A4NL,Wurth Cross-Reference,RJ45 Connectors
74981104400.0,SRJG16420A4NL,Wurth Cross-Reference,RJ45 Connectors
7498111120R,SRJG19662AGNL,Wurth Cross-Reference,RJ45 Connectors
74982104400,SRJ16657B4NL,Wurth Cross-Reference,RJ45 Connectors
74982104400.0,SRJ16657B4NL,Wurth Cross-Reference,RJ45 Connectors
749901000,SRJ0011DNL,Wurth Cross-Reference,RJ45 Connectors
